Song,True Class,Predicted Class,Prog Probability
1953_Les_Paul_And_Mary_Ford_Vaya_Con_Dio...,non-prog,non-prog,0.0055
01 - Radioactive,non-prog,non-prog,0.0162
07 - Wake Up,non-prog,non-prog,0.0298
04. Air Supply - All Out Of Love,non-prog,non-prog,0.0281
02. Top Of The World,non-prog,non-prog,0.0133
Hallelujah_Kate_McKinnon,non-prog,non-prog,0.0175
09 - Golden Brown [Explicit],non-prog,non-prog,0.0211
Paul Gilbert - Technical Difficulties (R...,non-prog,non-prog,0.0625
Sharon_Van_Etten_Seventeen,non-prog,non-prog,0.0062
01 Play Your Part (Pt. 1),non-prog,non-prog,0.0749
05. This Time,non-prog,non-prog,0.038
02. Planet Earth,non-prog,non-prog,0.0177
01 - Blinded By The Light,non-prog,non-prog,0.0624
03-oneohtrix_point_never-betrayed_in_the...,non-prog,non-prog,0.0046
01 - Immigrant Song,non-prog,non-prog,0.033
07-Cage-The-Elephant---Aint-No-Rest-For-...,non-prog,non-prog,0.0262
04 - Somebody Told Me,non-prog,non-prog,0.0092
2001_Alan_Jackson_Where_Were_You,non-prog,non-prog,0.0097
06 The Temple of the King,non-prog,non-prog,0.0276
02 End Game (feat. Ed Sheeran & Future),non-prog,non-prog,0.0006
06. In A Gadda Da Vida,non-prog,non-prog,0.0293
20 - They Can't Take That Away from Me (...,non-prog,non-prog,0.0022
1980_Pink_Floyd_Another_Brick_In_The_Wal...,non-prog,non-prog,0.0096
09Henry Mancini - Peter Gunn,non-prog,non-prog,0.0346
01 War Pigs _ Luke's Wall,non-prog,non-prog,0.0763
03 - Angel of Music,non-prog,non-prog,0.016
04 Cracker - Low,non-prog,non-prog,0.0021
02 - Woman In Love (Album Version),non-prog,non-prog,0.0004
Lil Nas X - Old Town Road (feat. Billy R...,non-prog,non-prog,0.0465
Cosmia,non-prog,non-prog,0.0386
Ruelle_The_World_We_Made,non-prog,non-prog,0.0144
02 - Burnin' For You,non-prog,non-prog,0.0017
Travis Scott - CIRCUS MAXIMUS (Official ...,non-prog,non-prog,0.0045
05 we're drowning in it,non-prog,non-prog,0.018
06 Tales Of Brave Ulysses,non-prog,non-prog,0.0396
K-Pop_1,non-prog,non-prog,0.0355
"09 - Madonna, Sean and Me",non-prog,non-prog,0.1006
15. Happier Than Ever,non-prog,non-prog,0.0118
11 - Hello Earth,non-prog,non-prog,0.0306
2011_Adele_Rolling_In_The_Deep,non-prog,non-prog,0.0008
02 - Zombified,non-prog,non-prog,0.0583
1-01 Eruption,non-prog,non-prog,0.0971
02 Aja,non-prog,non-prog,0.0254
Metro_Boomin_On_Time,non-prog,non-prog,0.0467
07. The Cars - Bye Bye Love,non-prog,non-prog,0.013
The Weeknd - The Birds (Trilogy),non-prog,non-prog,0.0532
02_Violin_Concerto_in_D_Major_Adagio,non-prog,non-prog,0.007
1-03 Wonderwall,non-prog,non-prog,0.0061
1942_Kay_Kyser_Praise_the_Lord_and_Pass_...,non-prog,non-prog,0.0441
1970_Simon_and_Garfunkel_Bridge_Over_Tro...,non-prog,non-prog,0.0216
SZA_Kill_Bill,non-prog,non-prog,0.0523
1939_Judy_Garland_Somewhere_Over_The_Rai...,non-prog,non-prog,0.0038
05 - Moonwind,non-prog,non-prog,0.0284
01. Painkiller,non-prog,non-prog,0.0191
Taylor_Swift_All_Too_Well_Taylor_Version,non-prog,non-prog,0.0011
2014_Katy_Perry_Roar,non-prog,non-prog,0.0289
02. Ascension (feat. Vince Staples),non-prog,non-prog,0.0693
1979_The_Knack_My_Sharona,non-prog,non-prog,0.1067
10 - Don't You Want Me - The Human Leagu...,non-prog,non-prog,0.0025
08 - Anarchy In The U.K,non-prog,non-prog,0.0893
01. B,non-prog,non-prog,0.0183
13 Metin Arolat - Elveda,non-prog,non-prog,0.0124
2-10 Dear Mama,non-prog,non-prog,0.0091
1984_Prince_When_Doves_Cry,non-prog,non-prog,0.0502
1965_Beach_Boys_California_Girls,non-prog,non-prog,0.0654
14 - 25 or 6 to 4 (Steven Wilson Remix),non-prog,non-prog,0.0108
09 - Dilettante,non-prog,non-prog,0.0083
2010_Lady_Gaga_Telephone,non-prog,non-prog,0.0002
09-Year Of The Cat,non-prog,non-prog,0.026
2005_Kelly_Clarkson_Since_U_Been_Gone,non-prog,non-prog,0.0028
12 - Buckingham Green,non-prog,non-prog,0.0361
16 - Navras,non-prog,non-prog,0.0292
01 - It's The End Of The World As We Kno...,non-prog,non-prog,0.0024
Serge_Prokofiev_1,non-prog,non-prog,0.0101
17 - Cross Road Blues (take 1),non-prog,non-prog,0.0158
Titi_Me_Pregunto,non-prog,non-prog,0.0113
Allie_X_Not_So_Bad_in_LA,non-prog,non-prog,0.0056
19 - Tusk,non-prog,non-prog,0.0673
08 - Asmarina (My Asmara),non-prog,non-prog,0.0261
01 - Upside Down,non-prog,non-prog,0.0006
